时间,收盘点位,PB市值加权,温度
2006/2/6,1033.234,1.8714,62.4
2006/1/25,1009.597,1.8267,59.2
2006/1/24,999.093,1.8125,58.4
2006/1/23,996.162,1.8172,58.8
2006/1/20,993.34,1.82,58.9
2006/1/19,991.222,1.8144,58.5
2006/1/18,983.622,1.791,57.3
2006/1/17,964.29,1.7565,55.5
2006/1/16,961.439,1.7446,54.6
2006/1/13,978.809,1.77,56.4
2006/1/12,983.716,1.783,57.1
2006/1/11,973.477,1.7641,56.1
2006/1/10,978.154,1.7811,57
2006/1/9,975.253,1.7735,56.6
2006/1/6,970.032,1.7682,56.3
2006/1/5,959.134,1.7543,55.4
2006/1/4,941.428,1.7259,53
2005/12/30,923.451,1.7058,50.5
2005/12/29,932.031,1.7224,52.5
2005/12/28,920.919,1.7022,50.1
2005/12/27,919.36,1.6988,49.6
2005/12/26,922.378,1.7067,50.7
2005/12/23,915.89,1.6889,48.3
2005/12/22,908.754,1.6771,46.2
2005/12/21,903.144,1.6702,44.9
2005/12/20,907.318,1.6787,46.5
2005/12/19,902.91,1.6729,45.4
2005/12/16,902.561,1.6659,44.3
2005/12/15,896.434,1.6612,43.6
2005/12/14,898.153,1.6621,43.8
2005/12/13,889.101,1.6509,42.4
2005/12/12,888.518,1.6467,41.6
2005/12/9,887.358,1.6446,41.3
2005/12/8,874.056,1.6246,39
2005/12/7,873.838,1.6238,39
2005/12/6,866.075,1.606,36.9
2005/12/5,859.61,1.5898,35.6
2005/12/2,869.936,1.6046,36.7
2005/12/1,873.067,1.6069,37
2005/11/30,873.825,1.6074,37.1
2005/11/29,871.31,1.6067,37
2005/11/28,880.167,1.6237,39
2005/11/25,884.105,1.6296,39.7
2005/11/24,881.493,1.6274,39.5
2005/11/23,876.229,1.6167,38
2005/11/22,869.617,1.6073,37.1
2005/11/21,883.871,1.6376,40.5
2005/11/18,882.241,1.6396,40.8
2005/11/17,862.658,1.6089,37.4
2005/11/16,863.119,1.6094,37.5
2005/11/15,856.635,1.5965,36
2005/11/14,862.149,1.5937,35.8
2005/11/11,864.79,1.6037,36.6
2005/11/10,862.968,1.6019,36.4
2005/11/9,879.252,1.6263,39.3
2005/11/8,881.524,1.6272,39.4
2005/11/7,877.278,1.6162,37.9
2005/11/4,878.361,1.6235,38.9
2005/11/3,874.575,1.6176,38.1
2005/11/2,882.478,1.6283,39.6
2005/11/1,872.865,1.6119,37.7
2005/10/31,876.282,1.6161,37.9
2005/10/28,867.729,1.6052,36.8
2005/10/27,875.849,1.6479,41.8
2005/10/26,875.82,1.6472,41.7
2005/10/25,894.272,1.6906,48.5
2005/10/24,906.652,1.718,52.1
2005/10/21,904.414,1.7301,53.5
2005/10/20,899.915,1.7262,53
2005/10/19,898.744,1.7237,52.7
2005/10/18,902.366,1.735,53.9
2005/10/17,897.623,1.7266,53.1
2005/10/14,904.828,1.7469,54.8
2005/10/13,916.499,1.7682,56.3
2005/10/12,923.485,1.7856,57.2
2005/10/11,919.72,1.7831,57.1
2005/10/10,907.321,1.7591,55.7
2005/9/30,917.392,1.7805,56.9
2005/9/29,915.975,1.7773,56.8
2005/9/28,903.719,1.7441,54.5
2005/9/27,904.214,1.7452,54.7
2005/9/26,918.485,1.7784,56.8
2005/9/23,916.154,1.7756,56.7
2005/9/22,923.274,1.7835,57.2
2005/9/21,944.408,1.8208,58.9
2005/9/20,961.919,1.8564,61.3
2005/9/19,971.136,1.8729,62.5
2005/9/16,967.495,1.8682,62.2
2005/9/15,969.598,1.8764,62.7
2005/9/14,970.193,1.8798,62.8
2005/9/13,963.774,1.8653,62
2005/9/12,949.506,1.8391,60
2005/9/9,949.065,1.8445,60.3
2005/9/8,955.282,1.8496,60.8
2005/9/7,952.758,1.8487,60.6
2005/9/6,936.61,1.8214,58.9
2005/9/5,952.717,1.8509,61
2005/9/2,947.871,1.8472,60.5
2005/9/1,944.559,1.8436,60.2
2005/8/31,927.916,1.8168,58.7
2005/8/30,914.88,1.7949,57.5
2005/8/29,917.371,1.8085,58.3
2005/8/26,928.258,1.8545,61.1
2005/8/25,930.118,1.8572,61.4
2005/8/24,930.651,1.8582,61.5
2005/8/23,923.414,1.8339,59.7
2005/8/22,931.673,1.8467,60.4
2005/8/19,923.038,1.8406,60.1
2005/8/18,920.671,1.8352,59.7
2005/8/17,953.012,1.9133,64.1
2005/8/16,945.058,1.9023,63.7
2005/8/15,954.502,1.9301,64.9
2005/8/12,938.316,1.9083,64
2005/8/11,953.992,1.9385,65.1
2005/8/10,940.37,1.906,63.9
2005/8/9,933.089,1.8912,63.2
2005/8/8,927.471,1.8743,62.6
2005/8/5,923.803,1.8581,61.4
2005/8/4,904.15,1.8217,59
2005/8/3,909.57,1.8302,59.5
2005/8/2,903.598,1.8243,59.1
2005/8/1,891.607,1.7995,57.8
2005/7/29,888.164,1.7918,57.4
2005/7/28,890.885,1.8011,57.9
2005/7/27,894.012,1.797,57.7
2005/7/26,876.48,1.7745,56.7
2005/7/25,856.86,1.729,53.5
2005/7/22,859.693,1.7312,53.6
2005/7/21,843.987,1.6889,48.3
2005/7/20,842.641,1.6864,47.9
2005/7/19,835.608,1.6733,45.5
2005/7/18,832.995,1.6728,45.3
2005/7/15,841.001,1.6867,48
2005/7/14,849.59,1.6995,49.7
2005/7/13,846.231,1.6927,48.6
2005/7/12,851.816,1.7057,50.5
2005/7/11,824.097,1.6507,42.4
2005/7/8,829.489,1.6583,43.3
2005/7/7,844.729,1.6843,47.6
2005/7/6,842.556,1.676,46
2005/7/5,849.679,1.6841,47.6
2005/7/4,855.932,1.6992,49.6
2005/7/1,859.494,1.7053,50.4
2005/6/30,878.686,1.7235,52.6
2005/6/29,898.898,1.7629,56
2005/6/28,903.716,1.7707,56.5
2005/6/27,916.043,1.7965,57.6
2005/6/24,898.301,1.7627,55.9
2005/6/23,893.572,1.7465,54.7
2005/6/22,900.646,1.7529,55.4
2005/6/21,896.166,1.7497,55
2005/6/20,906.255,1.7585,55.7
2005/6/17,880.345,1.7185,52.2
2005/6/16,879.237,1.7252,52.9
2005/6/15,866.834,1.7017,50
2005/6/14,883.537,1.7331,53.8
2005/6/13,892.959,1.7492,54.9
2005/6/10,894.556,1.745,54.6
2005/6/9,912.604,1.7855,57.2
2005/6/8,905.773,1.7593,55.7
2005/6/7,837.282,1.6248,39.1
2005/6/6,838.997,1.6332,40.2
2005/6/3,818.033,1.588,35.4
2005/6/2,818.379,1.5927,35.8
2005/6/1,837.532,1.6291,39.7
2005/5/31,855.946,1.6654,44.2
2005/5/30,855.612,1.6637,44
2005/5/27,849.508,1.6511,42.4
2005/5/26,857.331,1.6613,43.6
2005/5/25,868.451,1.6824,47.2
2005/5/24,868.456,1.6859,47.9
2005/5/23,863.341,1.6867,48
2005/5/20,882.763,1.7254,52.9
2005/5/19,884.171,1.7301,53.5
2005/5/18,883.196,1.7284,53.4
2005/5/17,881.462,1.7263,53
2005/5/16,875.271,1.7244,52.8
2005/5/13,887.543,1.7475,54.8
2005/5/12,885.82,1.7449,54.6
2005/5/11,901.851,1.7828,57.1
2005/5/10,913.076,1.8073,58.2
2005/5/9,909.174,1.7944,57.5
2005/4/29,932.395,1.8634,61.8
2005/4/28,942.073,1.8977,63.5
2005/4/27,926.604,1.8649,61.9
2005/4/26,937.083,1.8897,63.2
2005/4/25,930.07,1.8904,63.2
2005/4/22,939.101,1.9168,64.3
2005/4/21,943.981,1.9228,64.4
2005/4/20,950.867,1.9346,65
2005/4/19,965.886,1.9594,65.5
2005/4/18,963.772,1.9564,65.4
2005/4/15,974.082,1.9852,66.1
2005/4/14,986.975,2.0135,66.4
2005/4/13,1000.9,2.0353,66.8
2005/4/12,978.697,1.9886,66.2
2005/4/11,995.421,2.0272,66.6
2005/4/8,1003.445,2.0511,67.1
